Time Step,Tokens type 1,Tokens type 2,SF,AF,SI,AI,SS,AS,R,S,IN,V,A,C,AL
1,62.330379949603326,43.89373997143448,10521.313477080264,106.22411992103781,0.9999951283602483,-4.8716397517134524e-06,99.00000487163975,0.9999951283602483,0.9995177053150142,0.009999902567442296,0.0,0.0,0.0,54.0,0
2,65.96896998350239,48.2774975748886,11313.291129442912,114.24646755839099,0.9999974447389984,-2.555261001568887e-06,99.000002555261,0.9999974447389984,0.9997470285144403,0.009999948894845262,0.0,0.0,0.0,13.714191959372537,0
3,70.20113476262148,52.05793686323672,12105.278525375445,122.2590716258582,0.9999986531211057,-1.346878894303849e-06,99.00000134687889,0.9999986531211057,0.999866658809875,0.009999973062440255,0.0,0.0,0.0,8.98563841805686,0
4,74.76807569804464,55.49810462186504,12897.271416681388,130.26618031990967,0.999999287008096,-7.129919039616794e-07,99.0000007129919,0.999999287008096,0.9999294137511803,0.009999985740167002,0.0,0.0,0.0,7.677339830945636,0
5,79.5238303856233,58.74635923773145,13689.26740737795,138.27018962335475,0.9999996211377493,-3.788622506828432e-07,99.00000037886225,0.9999996211377493,0.9999624926229855,0.009999992422756421,0.0,0.0,0.0,7.2001183208595245,0
6,84.38607602941767,61.8863748410801,14481.265146130805,146.27245087049778,0.9999997980080133,-2.0199198669246243e-07,99.00000020199198,0.9999997980080133,0.9999800027892879,0.009999995960160674,0.0,0.0,0.0,7.007099775702043,0
7,89.30838257251769,64.96534364136873,15273.263870787423,154.27372621388642,0.9999998919840487,-1.0801595129450448e-07,99.00000010801595,0.9999998919840487,0.9999893064196649,0.009999997839681089,0.0,0.0,0.0,6.92602829842615,0
8,94.26456346282609,68.00988204473153,16065.263151493748,162.27444550755763,0.9999999420823396,-5.791766044538349e-08,99.00000005791766,0.9999999420823396,0.9999942661512884,0.009999998841646825,0.0,0.0,0.0,6.891597353323041,0
9,99.23984948495996,71.03500170422816,16857.262745812113,170.27485118918813,0.9999999688691555,-3.113084445782732e-08,99.00000003113084,0.9999999688691555,0.9999969180463006,0.009999999377383122,0.0,0.0,0.0,6.87687220875635,0
10,104.22591080144348,74.04916919218428,17649.262517007664,178.27507999362774,0.9999999832300991,-1.6769900912372293e-08,99.0000000167699,0.9999999832300991,0.9999983397797727,0.009999999664601985,0.0,0.0,0.0,6.870512378422713,0
11,109.21804938394021,77.05715965539152,18441.262387961964,186.27520903933174,0.9999999909479798,-9.05202024448215e-09,99.00000000905202,0.9999999909479798,0.9999991038499837,0.009999999818959597,0.0,0.0,0.0,6.867730661076413,0
12,114.21361554446838,80.06166627664042,19233.262315180207,194.27528182110882,0.9999999951048917,-4.89510831869211e-09,99.00000000489511,0.9999999951048917,0.9999995153842639,0.009999999902097835,0.0,0.0,0.0,6.866496364117423,0
13,119.21111485900629,83.06420801102479,20025.26227413128,202.27532287003106,0.9999999973483502,-2.651649788631971e-09,99.00000000265165,0.9999999973483502,0.9999997374866723,0.009999999946967006,0.0,0.0,0.0,6.865940232699898,0
14,124.20970447240566,86.06564154921755,20817.26225097968,210.2753460216232,0.9999999985613676,-1.4386324354020985e-09,99.00000000143864,0.9999999985613676,0.9999998575753833,0.009999999971227353,0.0,0.0,0.0,6.865685728419265,0
15,129.20890901436297,89.06645006475827,21609.262237922194,218.27535907912124,0.9999999992183494,-7.816506331081996e-10,99.00000000078165,0.9999999992183494,0.9999999226165944,0.009999999984366988,0.0,0.0,0.0,6.865567478617881,0
16,134.20846037602686,92.06690606752326,22401.262230557768,226.27536644355013,0.9999999995747355,-4.252644902891234e-10,99.00000000042526,0.9999999995747355,0.9999999578988079,0.00999999999149471,0.0,0.0,0.0,6.865511749556837,0
17,139.2082073440053,95.0671632530827,23193.26222640423,234.275370597088,0.9999999997683409,-2.3165913631828516e-10,99.00000000023167,0.9999999997683409,0.9999999770657708,0.00999999999536682,0.0,0.0,0.0,6.865485145369018,0
18,144.2080646339451,98.06730830573821,23985.26222406163,242.2753729396833,0.9999999998736587,-1.2634127077859603e-10,99.00000000012633,0.9999999998736587,0.9999999874922086,0.009999999997473174,0.0,0.0,0.0,6.865472301077056,0
19,149.20798414547122,101.0673901154359,24777.26222274041,250.2753742609071,0.9999999999310212,-6.897882265377575e-11,99.00000000006898,0.9999999999310212,0.9999999931710978,0.009999999998620423,0.0,0.0,0.0,6.865466040295099,0
20,154.20793874997185,104.0674362561054,25569.262221995217,258.27537500607724,0.9999999999623009,-3.76990660910792e-11,99.0000000000377,0.9999999999623009,0.9999999962677987,0.00999999999924602,0.0,0.0,0.0,6.865462964283616,0
21,159.2079131469102,107.06746227944299,26361.262221574954,266.2753754263532,0.9999999999793766,-2.0623391883134445e-11,99.00000000002062,0.9999999999793766,0.9999999979582795,0.009999999999587532,0.0,0.0,0.0,6.865461443295786,0
22,164.20789870678342,110.06747695660538,27153.262221337907,274.2753756633888,0.9999999999887077,-1.1292300428067392e-11,99.0000000000113,0.9999999999887077,0.9999999988820573,0.009999999999774153,0.0,0.0,0.0,6.865460687409836,0
