Time Step,Tokens type 1,Tokens type 2,SF,AF,SI,AI,SS,AS,R,S,IN,V,A,C,AL
1,78.43513368638627,52.7637321451443,10496.338731169772,131.19886583153055,1.0023744936686834,0.002374493668683364,98.99762550633132,1.0023744936686834,1.2345180116657504,0.010047546255575494,0.4867102633707914,0.48783061091289825,0.16942398237659434,2.8421052631578974,0
2,75.05205109104797,53.28017316086094,11299.205372749393,128.3322242519089,1.0012440563577858,0.0012440563577857944,98.99875594364221,1.0012440563577858,1.1230085498522844,0.010024896603917928,0.35249263886903576,0.352746608024046,0.1400854368037092,5.858073030035409,0
3,75.32399250727718,54.87944589372512,12097.3341586003,130.2034384010023,1.0006553561575673,0.0006553561575672884,98.99934464384243,1.0006553561575673,1.0648377677688232,0.010013111418068278,0.255915405390084,0.2559229043022859,0.11108960610316458,6.8734076816933145,0
4,77.65736746603046,57.0894357150605,12892.790793820206,134.74680318109097,1.0003468160837004,0.000346816083700352,98.9996531839163,1.0003468160837004,1.034322888556524,0.010006937524487966,0.18619770245776365,0.1861533968070983,0.0856677132237756,6.950018004160372,0
5,81.15339094276732,59.64386997429368,13686.740336084244,140.797260917061,1.0001842575284634,0.00018425752846340515,98.99981574247154,1.0001842575284634,1.0182381348042393,0.010003685490077636,0.13572898875374947,0.13568687354408304,0.06489374115952772,6.901306991436887,0
6,85.30514818364688,62.392570896501184,14479.839877921155,147.69771908014806,1.0000982292015745,9.822920157454007e-05,98.99990177079843,1.0000982292015745,1.009723735801073,0.01000196468052125,0.09910577861366926,0.09907613688635575,0.04861393411762243,6.879681193976566,0
7,89.82673926750297,65.25083821662624,15272.46001951718,155.07757748412922,1.0000525260182767,5.252601827665515e-05,98.99994747398172,1.0000525260182767,1.0051998026844675,0.01000105054795536,0.07247293249135839,0.07245428531766906,0.03617136957469691,6.872176367906933,0
8,94.55691663879779,68.17090098517676,16064.80977937733,162.72781762397454,1.000028163523887,2.816352388701482e-05,98.9999718364761,1.000028163523887,1.0027881103418002,0.01000056327840958,0.05306856953534297,0.053057478312545925,0.026803442330257148,6.869141753261183,0
9,99.40473667620802,71.12581638663929,16857.007043938454,170.5305530628473,1.0000151377461117,1.5137746111726358e-05,98.99998486225388,1.0000151377461117,1.0014986141794173,0.010000302757213747,0.038906962055444264,0.03890057175658379,0.01981398021791196,6.867605300713038,0
10,104.3189071773074,74.10038867306415,17649.118301150924,178.41929585037155,1.0000081545082253,8.154508225333146e-06,98.99999184549178,1.0000081545082253,1.0008072897312683,0.010000163090829467,0.028555983138163862,0.028552371894297046,0.014627458727827728,6.86671918263924,0
11,109.27049933992744,77.08604744260776,18441.18105021876,186.3565467825352,1.0000044016059655,4.401605965487221e-06,98.99999559839404,1.0000044016059655,1.0004357570725575,0.010000088032313052,0.02097995851148763,0.020977942524780246,0.01079128009734443,6.866190659480647,0
