Time Step,Tokens type 1,Tokens type 2,SF,AF,SI,AI,SS,AS,R,S,IN,V,A,C,AL
1,45.05787569066034,58.118201384112425,10524.36151992653,103.17607707477276,0.999705511931591,-0.00029448806840903785,99.0002944880684,0.999705511931591,0.9708370930993953,0.009994111105864043,0.0,0.0,0.0,54.0,0
2,56.22727758145855,56.30009381163896,11315.010225608205,112.52737139309751,0.9998455145384704,-0.00015448546152962983,99.00015448546154,0.9998455145384704,0.9847035762334817,0.009996910529426986,0.0,0.0,0.0,16.0551722682542,0
3,64.70682024786875,56.582681140763924,12106.248095612671,121.28950138863267,0.9999185648126823,-8.143518731773547e-05,99.00008143518731,0.9999185648126823,0.9919372598647977,0.009998371362570542,0.0,0.0,0.0,9.072535809961224,0
4,71.6692823117241,58.050060394390385,12897.818254295184,129.7193427061145,0.9999568893550107,-4.3110644989297064e-05,99.000043110645,0.9999568893550107,0.9957318621438754,0.009999137805685492,0.0,0.0,0.0,7.504451558141186,0
5,77.77611091573851,60.18566229343573,13689.57582379213,137.96177320917425,0.9999770918569811,-2.290814301886268e-05,99.00002290814302,0.9999770918569811,0.9977320418864252,0.009999541842387456,0.0,0.0,0.0,7.055265110711385,0
6,83.40036224840264,62.69814176449731,14481.439092988403,146.09850401289995,0.9999877862996918,-1.2213700308238984e-05,99.0000122137003,0.9999877862996918,0.9987908289010355,0.00999975572748558,0.0,0.0,0.0,6.921061582716012,0
7,88.75244000002522,65.42318018617604,15273.36197681511,154.17562018620126,0.9999934686427282,-6.531357271799543e-06,99.00000653135727,0.9999934686427282,0.9993533914068619,0.00999986937328115,0.0,0.0,0.0,6.881694943544425,0
8,93.95101185194034,68.26810185600286,16065.318483293362,162.2191137079432,0.9999964979055891,-3.5020944109120933e-06,99.00000350209442,0.9999964979055891,0.9996532914391136,0.009999929958234427,0.0,0.0,0.0,6.870301951770697,0
9,99.0630063764204,71.1806376777852,16857.293952947097,170.24364405420562,0.9999981176150873,-1.8823849127214132e-06,99.00000188238491,0.9999981176150873,0.9998136435428396,0.00999996235233718,0.0,0.0,0.0,6.8669934952122125,0
10,104.12617128822717,74.13130788127044,17649.280117831797,178.25747916949763,0.9999989859756094,-1.0140243905665258e-06,99.00000101402439,0.9999989859756094,0.999899611483538,0.00999997971952247,0.0,0.0,0.0,6.8660014317437685,0
11,109.1617962984862,77.10348587603612,18441.272314826776,186.26528217452233,0.999999452651893,-5.473481069495634e-07,99.00000054734811,0.999999452651893,0.999945812507756,0.009999989053040857,0.0,0.0,0.0,6.865681031044428,0
12,114.18188880427232,80.08779426508397,19233.26791393196,194.2696830693563,0.9999997040076246,-2.9599237538757706e-07,99.00000029599238,0.9999997040076246,0.9999706967461602,0.009999994080153368,0.0,0.0,0.0,6.865563952270209,0
13,119.19322097753572,83.07894419650695,20025.26543182727,202.27216517404267,0.999999839662751,-1.6033724903330437e-07,99.00000016033725,0.999999839662751,0.9999841266098008,0.009999996793255276,0.0,0.0,0.0,6.865514100420016,0
14,124.19961232325625,86.07395275782949,20817.264031920215,210.27356508108574,0.999999913010234,-8.698976594612162e-08,99.00000008698977,0.999999913010234,0.9999913880124149,0.009999998260204758,0.0,0.0,0.0,6.865489749930946,0
15,129.20321704224267,89.0711375864154,21609.263242372657,218.27435462865807,0.9999999527359473,-4.7264052671636136e-08,99.00000004726405,0.9999999527359473,0.9999953208585691,0.009999999054718968,0.0,0.0,0.0,6.865476730120276,0
16,134.205250103751,92.06954982973788,22401.26279706783,226.2747999334889,0.9999999742855333,-2.5714466667103864e-08,99.00000002571447,0.9999999742855333,0.99999745426774,0.009999999485710674,0.0,0.0,0.0,6.865469446211058,0
17,139.20639675044174,95.06865433497174,23193.262545915903,234.27505108541348,0.9999999859922855,-1.400771454385108e-08,99.00000001400771,0.9999999859922855,0.9999986132362468,0.00999999971984571,0.0,0.0,0.0,6.86546530390963,0
18,144.20704345917525,98.06814927592363,23985.262404266214,242.27519273509887,0.9999999923605208,-7.639479160381768e-09,99.00000000763949,0.9999999923605208,0.9999992436915491,0.009999999847210419,0.0,0.0,0.0,6.865462944771444,0
19,149.207408202901,101.06786442262049,24777.262324375795,250.2752726255215,0.9999999958290592,-4.170940814951507e-09,99.00000000417094,0.9999999958290592,0.9999995870768698,0.009999999916581183,0.0,0.0,0.0,6.865461608263977,0
20,154.20761391836226,104.06770376535749,25569.262279317572,258.2753176837198,0.9999999977204547,-2.279545330274857e-09,99.00000000227955,0.9999999977204547,0.9999997743250092,0.009999999954409094,0.0,0.0,0.0,6.865460857064988,0
21,159.2077299418824,107.06761315466116,26361.262253904766,266.27534309654357,0.999999998752963,-1.2470370291950417e-09,99.00000000124703,0.999999998752963,0.9999998765433366,0.00999999997505926,0.0,0.0,0.0,6.865460438465194,0
22,164.20779537914774,110.06756205022842,27153.262239571923,274.2753574293762,0.9999999993171855,-6.82814471630877e-10,99.00000000068282,0.9999999993171855,0.9999999324013804,0.009999999986343709,0.0,0.0,0.0,6.865460207168777,0
23,169.2078322857654,113.06753322732831,27945.262231488185,282.2753655130937,0.9999999996258071,-3.7419289888873664e-10,99.00000000037419,0.9999999996258071,0.9999999629549016,0.009999999992516143,0.0,0.0,0.0,6.865460080379546,0
24,174.20785310109775,116.06751697121263,28737.26222692897,290.27537007231035,0.9999999997947716,-2.0522838983794145e-10,99.00000000020523,0.9999999997947716,0.999999979682388,0.009999999995895433,0.0,0.0,0.0,6.865460011385997,0
25,179.20786484094526,119.0675078027634,29529.26222435759,298.2753726437087,0.9999999998873556,-1.1264444932379547e-10,99.00000000011265,0.9999999998873556,0.9999999888482103,0.009999999997747111,0.0,0.0,0.0,6.865459974093416,0
26,184.2078714622192,122.06750263175802,30321.262222907306,306.27537409397723,0.9999999999381279,-6.18720630285452e-11,99.00000000006187,0.9999999999381279,0.9999999938746771,0.00999999999876256,0.0,0.0,0.0,6.865459954058588,0
27,189.2078751966177,125.06749971531099,31113.262222089346,314.2753749119287,0.9999999999659924,-3.400757453420056e-11,99.000000000034,0.9999999999659924,0.9999999966332581,0.00999999999931985,0.0,0.0,0.0,6.865459943354768,0
28,194.20787730281842,128.06749807043485,31905.262221628,322.27537537325327,0.999999999981296,-1.8704038318162475e-11,99.0000000000187,0.999999999981296,0.9999999981482939,0.009999999999625917,0.0,0.0,0.0,6.8654599376649355,0
29,199.20787849071561,131.06749714272468,32697.262221367837,330.27537563344026,0.9999999999897063,-1.0293654817417064e-11,99.00000000001029,0.9999999999897063,0.9999999989809337,0.009999999999794127,0.0,0.0,0.0,6.865459934654265,0
30,204.20787916068966,134.06749661949618,33489.26222122107,338.27537578018587,0.9999999999943315,-5.668465696828662e-12,99.00000000000567,0.9999999999943315,0.9999999994388399,0.009999999999886629,0.0,0.0,0.0,6.865459933067897,0
31,205.53711647324278,182.4850283519267,38414.19234327267,388.02214482516945,0.9999999999985472,-1.4528378500244798e-12,99.00000000000145,0.9999999999985472,0.9999999998561706,0.009999999999970944,0.0,0.0,0.0,6.865459932235211,0
32,189.82558891876198,178.7437119078092,36488.36078417452,368.5693008265712,0.9999999999993577,-6.422640197456531e-13,99.00000000000064,0.9999999999993577,0.9999999999364036,0.009999999999987153,0.0,0.0,0.0,6.865459931799672,0
33,183.22674734588003,177.17235900127986,35679.51152935328,360.3991063471599,0.9999999999997241,-2.758904216193514e-13,99.00000000000027,0.9999999999997241,0.9999999999726844,0.00999999999999448,0.0,0.0,0.0,6.865459931572591,0
34,180.45523388526962,176.51239078053754,35339.79484232838,356.9676246658072,0.9999999999998829,-1.1712852909795402e-13,99.00000000000011,0.9999999999998829,0.9999999999884173,0.009999999999997658,0.0,0.0,0.0,6.865459931454546,0
35,179.29119823181324,176.23520412782577,35197.11383377792,355.526402359639,0.9999999999999507,-4.929390229335695e-14,99.00000000000004,0.9999999999999507,0.9999999999951154,0.009999999999999015,0.0,0.0,0.0,6.865459931393347,0
36,178.80230325736156,176.11878573368682,35137.18781018673,354.92108899104835,0.9999999999999792,-2.0761170560490427e-14,99.00000000000001,0.9999999999999792,0.9999999999979448,0.009999999999999584,0.0,0.0,0.0,6.865459931361698,0
