Time Step,Tokens type 1,Tokens type 2,SF,AF,SI,AI,SS,AS,R,S,IN,V,A,C,AL
1,38.475506948602195,39.788289978427464,10549.273800074274,78.26379692702966,0.9973446912485305,-0.002655308751469465,99.00265530875147,0.9973446912485305,0.7364245594305194,0.009946964331616267,0.0,0.0,0.0,2.743042167311051,0
2,52.51482161093776,45.962023778832645,11329.060751611532,98.4768453897704,0.9986054862864077,-0.001394513713592338,99.00139451371359,0.9986054862864077,0.8617503513233831,0.009972129172413127,0.0,0.0,0.0,5.891534639446612,0
3,62.612995080495025,50.75200964226116,12114.172592278546,113.36500472275618,0.9992644672032379,-0.0007355327967620839,99.00073553279677,0.9992644672032379,0.9271286538555233,0.00998529475414971,0.0,0.0,0.0,6.859209723353096,0
4,70.48836491732531,54.76156166923482,12902.287670414737,125.24992658656014,0.9996104993539265,-0.0003895006460734596,99.00038950064608,0.9996104993539265,0.9614244108218148,0.009992211504186064,0.0,0.0,0.0,6.965454724105244,0
5,77.1100735052976,58.330949012448,13692.09657448356,135.4410225177456,0.9997929934662051,-0.00020700653379490674,99.0002070065338,0.9997929934662051,0.9795021099571474,0.009995860297841153,0.0,0.0,0.0,6.93785978747776,0
6,83.02471714891396,61.65208347402023,14482.860796378369,144.6768006229342,0.9998896229571246,-0.00011037704287542027,99.00011037704287,0.9998896229571246,0.9890714664961343,0.009997792580973407,0.0,0.0,0.0,6.905803560994073,0
7,88.5405761639136,64.83320331034697,15274.16381752705,153.37377947426057,0.9999409724482122,-5.9027551787771415e-05,99.00005902755179,0.9999409724482122,0.9941559274117227,0.009998819483806765,0.0,0.0,0.0,6.885664686522757,0
8,93.83152064837338,67.93535489803526,16065.770721454895,161.76687554640864,0.9999683488310384,-3.165116896164388e-05,99.00003165116897,0.9999683488310384,0.9968664350918012,0.009999366986638732,0.0,0.0,0.0,6.8750048922686275,0
9,98.99561333760866,70.99296839349148,16857.5490152702,169.98858173110014,0.9999829871923461,-1.7012807653871143e-05,99.00001701280766,0.9999829871923461,0.9983157033876503,0.009999659746741277,0.0,0.0,0.0,6.869810149143801,0
10,104.08816161433735,74.02546240492879,17649.42397298203,178.11362401926613,0.9999908352844264,-9.164715573550808e-06,99.00000916471558,0.9999908352844264,0.9990926848429473,0.009999816706528449,0.0,0.0,0.0,6.867393736025065,0
11,109.14035884241234,77.04378902737943,18441.353449131504,186.1841478697918,0.999995053069154,-4.946930845961539e-06,99.00000494693084,0.999995053069154,0.9995102514234846,0.009999901061627802,0.0,0.0,0.0,6.86630234301815,0
12,114.16979807904667,80.05412524244161,19233.313673679826,194.2239233214883,0.9999973248162332,-2.675183766842615e-06,99.00000267518377,0.9999973248162332,0.999735156098564,0.009999946496396229,0.0,0.0,0.0,6.865819861731083,0
13,119.18640180850845,83.05995486773666,20025.291240325067,202.2463566762451,0.9999985508678291,-1.4491321709275695e-06,99.00000144913217,0.9999985508678291,0.9998565357071822,0.00999997101737758,0.0,0.0,0.0,6.865610440894835,0
14,124.19576631192487,86.06324277640304,20817.278587912973,210.2590090883279,0.9999992137837991,-7.862162009208973e-07,99.0000007862162,0.9999992137837991,0.9999221645349123,0.009999984275682163,0.0,0.0,0.0,6.865521197834741,0
15,129.2010478918518,89.06509715689089,21609.271451952573,218.2661450487427,0.9999995728258912,-4.2717410875248163e-07,99.00000042717411,0.9999995728258912,0.9999577097451812,0.00999999145651965,0.0,0.0,0.0,6.865483962107451,0
16,134.20402670293058,92.06614302748605,22401.2674272709,226.27016973041663,0.9999997675917395,-2.3240826052539632e-07,99.00000023240825,0.9999997675917395,0.9999769915768597,0.009999995351835331,0.0,0.0,0.0,6.865468839098257,0
17,139.205706752379,95.06673289850173,23193.265157350434,234.27243965088073,0.9999998733977682,-1.2660223180915864e-07,99.00000012660223,0.9999998733977682,0.9999874663774619,0.009999997467955525,0.0,0.0,0.0,6.865462924039122,0
18,144.20665430026784,98.06706558575453,23985.26387711529,242.27371988602238,0.999999930954106,-6.904589400225092e-08,99.0000000690459,0.999999930954106,0.9999931644560076,0.009999998619082167,0.0,0.0,0.0,6.865460740723,0
19,149.20718871727723,101.06725322136512,24777.263155062672,250.27444193864235,0.9999999623028836,-3.769711642842566e-08,99.00000003769712,0.9999999623028836,0.9999962679853455,0.009999999246057685,0.0,0.0,0.0,6.86546001294544,0
20,154.20749012847045,104.06735904784946,25569.262747824974,258.2748491763199,0.9999999793973844,-2.060261561354082e-08,99.00000002060261,0.9999999793973844,0.9999979603410079,0.009999999587947693,0.0,0.0,0.0,6.865459820112252,0
21,159.2076601243834,107.06741873398664,26361.26251814294,266.2750788583701,0.9999999887292331,-1.127076687534867e-08,99.00000001127077,0.9999999887292331,0.999998884194072,0.009999999774584663,0.0,0.0,0.0,6.865459804145902,0
22,164.20775600207833,110.06745239696801,27153.262388602252,274.27520839904633,0.9999999938286984,-6.171301580870647e-09,99.0000000061713,0.9999999938286984,0.9999993890411559,0.009999999876573967,0.0,0.0,0.0,6.865459834021882,0
23,169.20781007709823,113.06747138288944,27945.26231554129,282.2752814599877,0.9999999966180305,-3.3819694822412316e-09,99.00000000338197,0.9999999966180305,0.9999996651850174,0.00999999993236061,0.0,0.0,0.0,6.865459866786297,0
24,174.20784057540948,116.0674820909491,28737.262274334924,290.2753226663586,0.999999998145138,-1.8548620417391248e-09,99.00000000185486,0.999999998145138,0.999999816368667,0.009999999962902758,0.0,0.0,0.0,6.865459891566629,0
25,179.20785777645705,119.06748813029478,29529.262251094544,298.2753459067518,0.9999999989819163,-1.018083728432373e-09,99.00000000101808,0.9999999989819163,0.9999998992097116,0.009999999979638326,0.0,0.0,0.0,6.865459907914952,0
26,184.20786747784786,122.0674915364857,30321.26223798695,306.27535901433356,0.999999999440799,-5.59201018823785e-10,99.0000000005592,0.999999999440799,0.9999999446391039,0.009999999988815978,0.0,0.0,0.0,6.865459917955324,0
27,189.20787294943227,125.0674934575774,31113.262230594264,314.27536640700964,0.9999999996926391,-3.0736091449767855e-10,99.00000000030737,0.9999999996926391,0.9999999695712618,0.009999999993852782,0.0,0.0,0.0,6.865459923855648,0
28,194.20787603540583,128.0674945410731,31905.262226424777,322.27537057647896,0.9999999998309516,-1.6904844191145685e-10,99.00000000016905,0.9999999998309516,0.9999999832642081,0.009999999996619031,0.0,0.0,0.0,6.865459927221002,0
29,199.20787777589493,131.06749515216464,32697.262224073216,330.2753729280596,0.9999999999069662,-9.303380288372409e-11,99.00000000009304,0.9999999999069662,0.9999999907896459,0.009999999998139325,0.0,0.0,0.0,6.865459929099558,0
30,204.20787875753078,134.0674954968203,33489.262222746904,338.27537425435105,0.9999999999487698,-5.1230242270605686e-11,99.00000000005123,0.9999999999487698,0.9999999949282105,0.009999999998975396,0.0,0.0,0.0,6.86545993013126,0
31,205.53711635471404,182.48502802186,38414.19234372126,388.02214437657403,0.9999999999868694,-1.3130607712241726e-11,99.00000000001313,0.9999999999868694,0.999999998700063,0.009999999999737387,0.0,0.0,0.0,6.865459930690727,0
32,189.8255888689799,178.7437117691812,36488.36078436293,368.5693006381611,0.9999999999941941,-5.805911307277256e-12,99.00000000000581,0.9999999999941941,0.9999999994252103,0.009999999999883881,0.0,0.0,0.0,6.8654599309910385,0
