Time Step,Tokens type 1,Tokens type 2,SF,AF,SI,AI,SS,AS,R,S,IN,V,A,C,AL
1,65.64291311382055,64.26318038008623,10497.631503507397,129.90609349390678,1.0022510522984158,0.002251052298415823,98.99774894770158,1.0022510522984158,1.2223536478531158,0.010045071718332818,0.4739194491641658,0.4749241374236379,0.1671234688875188,5.399999999999999,0
2,67.8372386881209,59.76586196536819,11299.934496347814,127.6031006534891,1.0011794514992793,0.0011794514992793381,98.99882054850072,1.0011794514992793,1.1166281411926695,0.01002360294104398,0.34322908272015035,0.34344806753845436,0.13760699867773618,7.684580906581282,0
3,71.25483831202632,58.53737437946721,12097.74538430981,129.79221269149355,1.0006213419511396,0.000621341951139609,98.99937865804885,1.0006213419511396,1.0614746563799071,0.010012430699680995,0.2491899125264301,0.24918868128374072,0.10880375568302972,7.710251491353531,0
4,75.36236449990898,59.152507381019035,12893.022725120369,134.514871880928,1.0003288209445762,0.0003288209445762025,98.99967117905543,1.0003288209445762,1.0325425728334947,0.010006577500123659,0.18130440063718833,0.1812591803779906,0.08373992439615921,7.286723987940831,0
5,79.85900926987478,60.8074423938943,13686.871145337536,140.66645166376907,1.0001746984879425,0.00017469848794249287,98.99982530151206,1.0001746984879425,1.0172921293974608,0.010003494274954467,0.13216201183078044,0.1321208363419979,0.06335178906943395,7.0556557625165315,0
6,84.5751169201355,63.04882574115594,14479.91365434001,147.62394266129144,1.0000931336141548,9.313361415475008e-05,98.99990686638584,1.0000931336141548,1.0092193691681564,0.010001862759021797,0.09650126480643567,0.09647267583005048,0.047419028650202026,6.946696370683249,0
7,89.41500163488254,65.6209659490115,15272.501629417417,155.03596758389403,1.0000498013771637,4.980137716370514e-05,98.99995019862284,1.0000498013771637,1.0049300908139012,0.010000996052345045,0.07056833362780209,0.07055046405194387,0.03526290129759721,6.898668660632104,0
8,94.32469661399986,68.37965302624205,16064.833247361063,162.7043496402419,1.000026702653157,2.670265315707354e-05,98.99997329734684,1.000026702653157,1.002643492074288,0.010000534060193458,0.05167392006073009,0.05166332966267673,0.026120712043360556,6.878500045846133,0
9,99.27376458222199,71.24355253780011,16857.02027988128,170.51731712002208,1.0000143525454672,1.43525454672222e-05,98.99998564745454,1.0000143525454672,1.0014208816079884,0.010000287052969301,0.03788448161796243,0.037878393427737134,0.019304524500961328,6.870352617793451,0
10,104.24503891629926,74.16679186231886,17649.125766222674,178.41183077861814,1.000007731533585,7.7315335849093e-06,98.99999226846641,1.000007731533585,1.0007654159070638,0.010000154631269464,0.02780552788342614,0.027802092345663443,0.014248950992588699,6.867180415681809,0
11,109.22883764071887,77.12349884134743,18441.185260519233,186.35233648206628,1.000004173295315,4.17329531510191e-06,98.99999582670469,1.000004173295315,1.0004131545119828,0.010000083466080466,0.020428602249739962,0.02042668622758148,0.010510804675396073,6.8659989564250505,0
12,114.21970012129157,80.09908157751957,19233.218815302505,194.31878169881114,1.0000022568104288,2.256810428757916e-06,98.99999774318957,1.0000022568104288,1.0002234237282066,0.01000004513625951,0.015022667324999576,0.015021606775345031,0.007751683864372416,6.865587276692168,0
13,119.21454656033457,83.08531024072063,20025.237740200257,202.2998568010552,1.0000012224988966,1.2224988965581218e-06,98.9999987775011,1.0000012224988966,1.0001210272428103,0.010000024449992878,0.011056660445434673,0.011056076249793545,0.00571710721356864,6.865460427562267,0
14,124.21163995195482,86.077543206766,20817.24841384258,210.28918315872082,1.0000006632571432,6.632571432074741e-07,98.99999933674286,1.0000006632571432,1.0000656624136046,0.010000013265147262,0.00814405736287342,0.008143736545851432,0.0042174360722143115,6.865431944790563,0
15,129.2100006248287,89.07316259961559,21609.25443377687,218.28316322444428,1.0000003603666408,3.603666407503425e-07,98.99999963963336,1.0000003603666408,1.0000356762845857,0.010000007207334113,0.0060030534804070635,0.006002877627098169,0.0031121263048399374,6.8654332424047295,0
16,134.20907604432955,92.07069193718277,22401.257829019807,226.27976798151232,1.0000001960609324,1.9606093237811706e-07,98.99999980393906,1.0000001960609324,1.0000194100285118,0.010000003921219034,0.004427876397758133,0.0044277801049430465,0.0022973611658983996,6.865440844865533,0
17,139.20855458092802,95.06929848357066,23193.25974393682,234.2778530644987,1.0000001068023432,1.068023431916032e-07,98.99999989319765,1.0000001068023432,1.0000105734308409,0.010000002136046978,0.0032680626032079605,0.003268009900669888,0.0016966008059621186,6.865447777346951,0
18,144.20826047556952,98.06851257573342,23985.260823950008,242.27677305130294,1.0000000582474922,5.824749216287728e-08,98.9999999417525,1.0000000582474922,1.00000576650138,0.010000001164949875,0.002413451652097202,0.0024134228097327792,0.0012534744225430128,6.865452661793524,0
19,149.20809460014738,101.06806932371322,24777.261433077456,250.2761639238606,1.0000000318014906,3.18014905520414e-08,98.99999996819851,1.0000000318014906,1.0000031483474727,0.010000000636029823,0.0017832972141711722,0.0017832814269369557,0.0009264852896241216,6.865455749663474,0
20,154.2080010464092,104.0678193295738,25569.26177662531,258.275820375983,1.0000000173804773,1.7380477279616002e-08,98.99999998261953,1.0000000173804773,1.000001720667208,0.010000000347609549,0.001318350369876499,0.0013183417254980512,0.0006850893204192588,6.865457588844718,0
21,159.20794828210086,107.06767833287915,26361.261970386327,266.27562661498,1.0000000095080792,9.508079212849907e-09,98.99999999049192,1.0000000095080792,1.000000941299833,0.010000000190161586,0.0009750937966393969,0.0009750890611615048,0.0005068011677074136,6.86545864396161,0
22,164.20791852303097,110.06759881074338,27153.262079667522,274.27551733377436,1.0000000052061429,5.20614285015597e-09,98.99999999479385,1.0000000052061429,1.00000051540814,0.010000000104122856,0.0007215360575225639,0.0007215334619670166,0.00037506322950721317,6.865459233930699,0
23,169.20790173891552,113.06755396025875,27945.262141302104,282.27545569917424,1.0000000028530478,2.8530477980126534e-09,98.99999999714696,1.0000000028530478,1.0000002824517058,0.010000000057060959,0.0005341392880019941,0.0005341378645273842,0.00027767818531434954,6.865459557733711,0
24,174.20789227267443,116.06752866458538,28737.26217606402,290.2754209372598,1.0000000015647714,1.5647714235456078e-09,98.99999999843523,1.0000000015647714,1.0000001549123718,0.010000000031295428,0.0003955719177465835,0.0003955711366021575,0.00020565668668277138,6.865459732972707,0
25,179.2078869337145,119.06751439782562,29529.26219566976,298.27540133154014,1.0000000008588608,8.588607602888487e-10,98.99999999914114,1.0000000008588608,1.000000085027224,0.010000000017177215,0.00029306326271834326,0.00029306283378938147,0.00015237055546130752,6.865459826776773,0
26,184.20788392254104,122.06750635137313,30321.26220672737,306.2753902739142,1.0000000004717449,4.717448653934753e-10,98.99999999952826,1.0000000004717449,1.000000046702747,0.010000000009434898,0.00021719688422510393,0.00021719664855535115,0.00011293011004494869,6.865459876551208,0
27,189.2078822242392,125.06750181317392,31113.262212963862,314.2753840374131,1.0000000002592913,2.5929125513357576e-10,98.99999999974071,1.0000000002592913,1.0000000256698454,0.010000000005185824,0.0001610252325153868,0.00016102510295157302,8.372637754816559e-05,6.8654599027742975,0
28,194.20788126639692,128.06749925362953,31905.262216481227,322.2753805200265,1.0000000001426101,1.4261014591454568e-10,98.9999999998574,1.0000000001426101,1.000000014118404,0.010000000002852201,0.00011941948998978685,0.00011941941872040118,6.209442620188633e-05,6.865459916507818,0
29,199.20788072617393,131.0674978100465,32697.262218465054,330.2753785362204,1.0000000000784839,7.848388605680157e-11,98.99999999992151,1.0000000000784839,1.000000007769903,0.010000000001569679,8.85911316389185e-05,8.859109240644258e-05,4.606534757355174e-05,6.865459923664432,0
