Time Step,Tokens type 1,Tokens type 2,SF,AF,SI,AI,SS,AS,R,S,IN,V,A,C,AL
1,68.99637391727293,43.09186802993669,10515.449355054094,112.08824194720962,1.0005527929221971,0.0005527929221971206,98.99944720707781,1.0005527929221971,1.0546962635901356,0.010011058914244088,0.23505052882549132,0.235033831133713,0.10388238871455042,2.915643783081398,0
2,69.72859058126807,47.825241799883855,11309.98376462015,117.55383238115192,1.0002898727778367,0.0002898727778366528,98.99971012722216,1.0002898727778367,1.0286890888199676,0.010005798295819008,0.170231834848591,0.1701855601642488,0.07930872708846728,4.972418122767438,0
3,72.32156077976131,51.802864606134044,12103.413171615408,124.12442538589536,1.0001527709076492,0.00015277090764920231,98.99984722909235,1.0001527709076492,1.0151220096541416,0.010003055651542485,0.1235910887823011,0.12355246492765648,0.05960775749781354,6.047784704865411,0
4,75.96399597171151,55.35424386885914,12896.219357160728,131.31823984057064,1.0000808658601157,8.086586011568642e-05,98.99991913413989,1.0000808658601157,1.0080050728143566,0.010001617382595186,0.08992181123460342,0.08989592441357441,0.04437909709410872,6.5382260639919085,0
5,80.19832941997142,58.665221773036116,13688.674045808297,138.86355119300754,1.000042968020206,4.296802020609114e-05,98.99995703197979,1.000042968020206,1.004253651229428,0.01000085937886663,0.06554858811191668,0.0655327391338445,0.03285692749580247,6.740153791346263,0
6,84.76649348479,61.84061331099193,14480.930490205521,146.60710679578193,1.000022908115331,2.2908115330899648e-05,98.99997709188467,1.000022908115331,1.0022678514655596,0.010000458167554436,0.04786187476601091,0.04785261462433299,0.024248281019307136,6.819140206341645,0
7,89.52293801734768,64.93953413839901,15273.075124845564,154.4624721557467,1.0000122500664865,1.2250066486529931e-05,98.99998774993351,1.0000122500664865,1.0012127417260026,0.010000245002830373,0.03499988060585247,0.03499461356906153,0.01786383628526469,6.849028643253462,0
8,94.3855727337102,67.99532548505661,16065.156698782537,162.38089821876682,1.0000065683921255,6.5683921255388356e-06,98.99999343160788,1.0000065683921255,1.00065026654921,0.010000131368273948,0.02562879041634057,0.025625843117116354,0.013149202194246135,6.859985029896382,0
9,99.30809871373862,71.02679180457153,16857.202706482993,170.33489051831015,1.000003530511517,3.530511516913748e-06,98.99999646948848,1.000003530511517,1.0003495194061858,0.010000070610354982,0.018789622275198037,0.018787989785495895,0.009676032547878185,6.863842358722206,0
10,104.26440336647465,74.04453880877793,17649.22865482604,178.30894217525258,1.0000019018511175,1.9018511174806463e-06,98.99999809814888,1.0000019018511175,1.0001882829025432,0.010000038037058519,0.01379074871227031,0.013789850280954141,0.007120636351567114,6.865113342997991,0
11,109.23975919061778,77.05454811915034,18441.24328969153,186.2943073097681,1.0000010265761075,1.026576107454602e-06,98.9999989734239,1.0000010265761075,1.0001016309303177,0.010000020531532688,0.01013200401498726,0.010131511545241612,0.005241511047257661,6.865479876091298,0
12,114.22585987543454,80.06019337020041,19233.25154375568,194.28605324563495,1.000000555146674,5.551466739639466e-07,98.99999944485333,1.000000555146674,1.0000549594902004,0.010000011102936562,0.007450814490888147,0.0074505451965745095,0.003859814166829234,6.8655518342987625,0
13,119.2180206616712,83.06337729179262,20025.25619904785,202.28139795346382,1.000000300719421,3.0071942092035897e-07,98.99999969928058,1.000000300719421,1.0000297712137318,0.010000006014389322,0.005483788202403663,0.0054836411434666665,0.0028436810072024876,6.8655411091117475,0
14,124.21359934510866,86.0651730235706,20817.258824632623,210.27877236867926,1.0000001631530209,1.6315302087122063e-07,98.99999983684698,1.0000001631530209,1.000016152146444,0.010000003263060683,0.004039220150627058,0.004039139893197152,0.0020961244175633454,6.86551586713138,0
15,129.21110572256745,89.06618581629337,21609.260305462456,218.27729153886082,1.0000000886457387,8.864573874944881e-08,98.99999991135427,1.0000000886457387,1.0000087759273768,0.010000001772914852,0.002977343293800406,0.002977299499218322,0.0015459024629127694,6.865494666230735,0
16,134.20969931945422,92.06675703138906,22401.261140650477,226.27645635084326,1.0000000482285716,4.822857158082172e-08,98.99999995177143,1.0000000482285716,1.0000047746283722,0.010000000964571452,0.0021961003905747734,0.0021960764882922312,0.0011407137372167365,6.8654803146752545,0
17,139.20890610809835,95.06707919670302,23193.261611696515,234.27598530480137,1.0000000262720612,2.6272061193211016e-08,98.99999997372794,1.0000000262720612,1.0000026009339893,0.010000000525441229,0.0016208658335281744,0.0016208527827354935,0.0008421653401272212,6.865471479779703,0
18,144.20845873689356,98.06726089794006,23985.26187736648,242.27571963483362,1.0000000143281662,1.4328166209054416e-08,98.99999998567183,1.0000000143281662,1.0000014184884416,0.010000000286563327,0.0011970031747559433,0.0011969960450053385,0.0006220683852844911,6.865466320928528,0
19,149.20820641953412,101.06736337743774,24777.262027204342,250.27556979697187,1.0000000078227755,7.82277553845745e-09,98.99999999217722,1.0000000078227755,1.0000007744547699,0.010000000156455514,0.0008844645542508548,0.0008844606567137703,0.00045971788012587393,6.865463407205427,0
20,154.20806411254335,104.06742117587441,25569.262111712877,258.27548528841777,1.0000000042753836,4.275383602703187e-09,98.99999999572462,1.0000000042753836,1.0000004232629782,0.010000000085507672,0.0006538641743071937,0.0006538620422102959,0.00033989809107116465,6.865461798428741,0
21,159.2079838514005,107.06745377419271,26361.262159375714,266.2754376255932,1.0000000023388707,2.3388706527072145e-09,98.99999999766113,1.0000000023388707,1.0000002315481855,0.010000000046777412,0.0004836187183346917,0.00048361755116133054,0.0002514208744970903,6.865460924538315,0
22,164.20793858411596,110.06747215964424,27153.262186257536,274.2754107437602,1.0000000012806471,1.2806471438864264e-09,98.99999999871935,1.0000000012806471,1.0000001267840655,0.010000000025612943,0.0003578613058499576,0.0003578606664444983,0.00018605456260329057,6.86546045561065,0
23,169.20791305336746,113.06748252903884,27945.262201418875,282.2753955824063,1.0000000007018146,7.018146064297071e-10,98.99999999929818,1.0000000007018146,1.0000000694796471,0.010000000014036293,0.00026491783743967927,0.00026491748690293804,0.00013773902033130004,6.865460206356607,0
24,174.2078986540253,116.06748837737736,28737.262209969882,290.27538703140266,1.0000000003849145,3.849145446821467e-10,98.99999999961508,1.0000000003849145,1.0000000381065386,0.01000000000769829,0.00019619239142586224,0.00019619219912003771,0.00010201003253090147,6.8654600748611765,0
25,179.2078905327964,119.0674916758403,29529.26221479266,298.2753822086367,1.0000000002112692,2.112692243372294e-10,98.99999999978873,1.0000000002112692,1.0000000209156514,0.010000000004225384,0.00014535103174473675,0.00014535092617284917,7.557704219293804e-05,6.865460005912645,0
26,184.20788595242325,122.06749353617339,30321.262217512685,306.2753794885966,1.0000000001160434,1.1604339711368539e-10,98.99999999988395,1.0000000001160434,1.0000000114883012,0.01000000000232087,0.00010772344085676957,0.00010772338285836014,5.6013171582067755e-05,6.865459969942391,0
27,189.20788336909277,125.06749458540125,31113.26221904678,314.27537795449405,1.0000000000637825,6.378253480932017e-11,98.99999999993622,1.0000000000637825,1.0000000063144663,0.01000000000127565,7.986396859989614e-05,7.986393671943759e-05,4.152760510795162e-05,6.865459951256424,0
28,194.20788191209434,128.06749517716574,31905.262219911994,322.2753770892601,1.0000000000350802,3.508016099829092e-11,98.99999999996491,1.0000000000350802,1.000000003472954,0.010000000000701602,5.922850749179849e-05,5.922848995698615e-05,3.0797911722610925e-05,6.865459941584486,0
29,199.20788109034726,131.0674955109209,32697.262220400007,330.27537660126814,1.0000000000193061,1.9306112264416697e-11,98.99999999998069,1.0000000000193061,1.0000000019113002,0.010000000000386122,4.3938721265011765e-05,4.3938711613566994e-05,2.2847633062546002e-05,6.865459936593893,0
30,204.2078806268819,134.06749569915883,33489.26222067521,338.2753763260407,1.000000000010631,1.0631051594600649e-11,98.99999999998937,1.000000000010631,1.00000000105248,0.010000000000212622,3.260529342681588e-05,3.260528811388497e-05,1.695447615978729e-05,6.865459934025823,0
31,205.53711690430328,182.48502808134754,38414.19234311218,388.0221449856508,1.000000000002725,2.7249313916399842e-12,98.99999999999727,1.000000000002725,1.000000000269759,0.010000000000054498,1.6507366209158138e-05,1.6507364841711336e-05,8.583759578648654e-06,6.865459932707525,0
32,189.82558909980736,178.74371179416596,36488.36078410712,368.5693008939733,1.0000000000012048,1.2048140263232199e-12,98.99999999999879,1.0000000000012048,1.0000000001192784,0.010000000000024096,1.0976402080471397e-05,1.0976401476625597e-05,5.707697756105468e-06,6.86545993203222,0
33,183.2267474219191,177.1723589535497,35679.51152932498,360.3991063754688,1.0000000000005174,5.173639294753229e-13,98.99999999999949,1.0000000000005174,1.0000000000512332,0.010000000000010346,7.192801467266112e-06,7.192801210198496e-06,3.7402433113742364e-06,6.865459931686956,0
34,180.45523391720602,176.51239076049086,35339.79484231649,356.9676246776969,1.0000000000002192,2.191580250610059e-13,98.99999999999979,1.0000000000002192,1.0000000000217248,0.010000000000004382,4.681431672693278e-06,4.68143156462375e-06,2.4343387716685426e-06,6.865459931510738,0
35,179.29119824522652,176.23520411940615,35197.11383377293,355.52640236463265,1.0000000000000924,9.237055564881302e-14,98.99999999999991,1.0000000000000924,1.0000000000091611,0.010000000000001846,3.03925246810469e-06,3.0392524164035706e-06,1.5804088817406027e-06,6.865459931420936,0
36,178.80230326299514,176.1187857301506,35137.18781018463,354.92108899314576,1.000000000000039,3.907985046680551e-14,98.99999999999996,1.000000000000039,1.0000000000038545,0.01000000000000078,1.9768624248238413e-06,1.976862407104818e-06,1.0279674448554489e-06,6.865459931375235,0
37,178.59696737045795,176.06989000666326,35112.01888027756,354.66685737712123,1.0000000000000164,1.6431300764452317e-14,98.99999999999999,1.0000000000000164,1.0000000000016198,0.01000000000000033,1.2818463544610972e-06,1.2818463512864753e-06,6.665596771293636e-07,6.86545993135201,0
38,178.51072629559235,176.04935380279858,35101.44792971657,354.5600800983909,1.0000000000000067,6.661338147750939e-15,99.0,1.0000000000000067,1.0000000000006808,0.010000000000000132,8.161702118890945e-07,8.161702091946665e-07,4.244083369719931e-07,6.865459931340223,0
39,178.47450504414877,176.04072859717542,35097.008130480936,354.5152336413242,1.0000000000000029,2.886579864025407e-15,99.0,1.0000000000000029,1.0000000000002867,0.01000000000000006,5.372690074837184e-07,5.372690070615249e-07,2.7937980885184287e-07,6.865459931334246,0
40,178.4592921185425,176.03710601081366,35095.143414802,354.4963981293562,1.000000000000001,1.1102230246251565e-15,99.0,1.000000000000001,1.0000000000001203,0.010000000000000021,3.332000937312526e-07,3.33200089741581e-07,1.7326401987816098e-07,6.865459931331218,0
41,178.45290268978783,176.03558452454172,35094.36023421683,354.48848721432955,1.0000000000000004,4.440892098500626e-16,99.0,1.0000000000000004,1.0000000000000504,0.010000000000000007,2.1073424255447011e-07,2.1073424116835326e-07,1.0958179455400341e-07,6.865459931329683,0
42,178.4502191297109,176.03494550030751,35094.03129837108,354.4851646300184,1.0000000000000002,2.220446049250313e-16,99.0,1.0000000000000002,1.0000000000000209,0.010000000000000005,1.4901161193847654e-07,1.490116141589226e-07,7.748603243484809e-08,6.86545993132891,0
43,178.44909203447858,176.03467711012917,35093.89314531585,354.4837691446078,1.0000000000000002,2.220446049250313e-16,99.0,1.0000000000000002,1.0000000000000089,0.010000000000000005,1.4901161193847654e-07,1.490116141589226e-07,7.748603243484809e-08,6.865459931328514,0
44,178.448618654481,176.03456438625426,35093.83512103266,354.4831830407353,1.0000000000000002,2.220446049250313e-16,99.0,1.0000000000000002,1.0000000000000038,0.010000000000000005,1.4901161193847654e-07,1.490116141589226e-07,7.748603243484809e-08,6.865459931328317,0
45,178.44841983488203,176.0345170422268,35093.81075083371,354.48293687710884,1.0,0.0,99.0,1.0,1.0000000000000018,0.01,0.0,0.0,0.0,6.865459931328221,0
46,178.44833633065045,176.03449715773525,35093.80051535018,354.4828334883857,1.0,0.0,99.0,1.0,1.0000000000000002,0.01,0.0,0.0,0.0,6.865459931328167,0
47,178.4483012588732,176.03448880624882,35093.79621644705,354.482790065122,1.0,0.0,99.0,1.0,1.0000000000000007,0.01,0.0,0.0,0.0,6.865459931328143,0
48,178.44828652872673,176.0344852986245,35093.79441090781,354.48277182735126,1.0,0.0,99.0,1.0,0.999999999999999,0.01,0.0,0.0,0.0,6.865459931328131,0
49,178.44828034206523,176.03448382542229,35093.7936525813,354.4827641674875,1.0,0.0,99.0,1.0,0.999999999999999,0.01,0.0,0.0,0.0,6.865459931328125,0
50,178.4482777436674,176.03448320667735,35093.793334084134,354.48276095034475,1.0000000000000002,2.220446049250313e-16,99.0,1.0000000000000002,0.9999999999999999,0.010000000000000005,1.4901161193847654e-07,1.490116141589226e-07,7.748603243484809e-08,6.865459931328125,0
51,178.4482766523403,176.03448294680447,35093.793200315326,354.48275959914474,1.0,0.0,99.0,1.0,1.0,0.01,0.0,0.0,0.0,6.865459931328125,0
52,178.4482761939829,176.0344828376579,35093.79314413247,354.4827590316408,1.0000000000000002,2.220446049250313e-16,99.0,1.0000000000000002,0.999999999999999,0.010000000000000005,1.4901161193847654e-07,1.490116141589226e-07,7.748603243484809e-08,6.865459931328119,0
53,178.44827600147283,176.03448279181632,35093.793120535585,354.4827587932891,1.0,0.0,99.0,1.0,1.000000000000001,0.01,0.0,0.0,0.0,6.865459931328119,0
54,178.44827592061858,176.03448277256285,35093.79311062497,354.48275869318144,1.0,0.0,99.0,1.0,0.9999999999999999,0.01,0.0,0.0,0.0,6.865459931328119,0
55,178.44827588665981,176.0344827644764,35093.793106462435,354.48275865113624,1.0000000000000002,2.220446049250313e-16,99.0,1.0000000000000002,1.0000000000000013,0.010000000000000005,1.4901161193847654e-07,1.490116141589226e-07,7.748603243484809e-08,6.865459931328119,0
56,99.30613794407157,96.1464413824148,19349.805353322143,195.4525793264864,1.0,0.0,99.0,1.0,1.0000000000000004,0.01,0.0,0.0,0.0,6.865459931328119,0
57,60.708661800456355,57.04659293968195,11657.770219273716,117.7552547401383,1.0,0.0,99.0,1.0,0.9999999999999978,0.01,0.0,0.0,0.0,6.865459931328119,0
58,38.939685255457384,34.994278417980624,7319.462403670344,73.933963673438,1.0,0.0,99.0,1.0,1.0000000000000024,0.01,0.0,0.0,0.0,6.865459931328119,0
59,26.661982484077964,22.55677302774107,4872.6567956700765,49.21875551181903,1.0,0.0,99.0,1.0,1.0000000000000016,0.01,0.0,0.0,0.0,6.865459931328119,0
60,19.737358121019973,15.542019987645961,3492.6584327579358,35.27937810866594,1.0,0.0,99.0,1.0,0.9999999999999976,0.01,0.0,0.0,0.0,6.865459931328119,0
61,15.831869980255263,11.585699273032322,2714.339356075475,27.417569253287585,1.0,0.0,99.0,1.0,0.9999999999999984,0.01,0.0,0.0,0.0,6.865459931328119,0
62,13.629174668863968,9.354334389990228,2275.3673968265657,22.983509058854196,0.9999999999999999,-1.1102230246251565e-16,99.0,0.9999999999999999,0.9999999999999999,0.009999999999999997,0.0,0.0,0.0,6.865459931328119,0
63,12.386854513239278,8.095844595954489,2027.7872118101861,20.482699109193767,1.0,0.0,99.0,1.0,0.9999999999999983,0.01,0.0,0.0,0.0,6.865459931328119,0
64,11.686185945466953,7.386056352118332,1888.1519874609414,19.072242297585284,1.0,0.0,99.0,1.0,1.0000000000000009,0.01,0.0,0.0,0.0,6.865459931328119,0
65,11.291008873243362,6.985735782594738,1809.3977209279685,18.2767446558381,0.9999999999999999,-1.1102230246251565e-16,99.0,0.9999999999999999,1.000000000000002,0.009999999999999997,0.0,0.0,0.0,6.865459931328119,0
66,11.068129004509256,6.759954981383432,1764.9803146033728,17.82808398589269,1.0,0.0,99.0,1.0,1.000000000000002,0.01,0.0,0.0,0.0,6.865459931328119,0
67,10.942424758543218,6.632614609500255,1739.928897436303,17.575039368043473,1.0,0.0,99.0,1.0,1.0000000000000004,0.01,0.0,0.0,0.0,6.865459931328119,0
