W,I,AS,C,Xz,Xzo,Time,Agent ID
63.77558044949683,0.0015551573695686827,1.0015551573695687,40.0,1.0015551573695687,0.0015551573695686827,1,0
49.28236954911235,-0.001839209315675605,0.9981607906843244,52.023649546697634,0.9981607906843244,-0.001839209315675605,2,0
61.26153508794367,-0.0006211355477589997,0.999378864452241,58.74728654808418,0.999378864452241,-0.0006211355477589997,3,0
62.04727654161845,-0.0011816163883831,0.9988183836116169,63.139095215611974,0.9988183836116169,-0.0011816163883831,4,0
65.72922552126819,-0.0012796578196039299,0.9987203421803961,66.25243196804847,0.9987203421803961,-0.0012796578196039299,5,0
89.4884912673089,0.0011602384468312188,1.0011602384468312,68.57653942449089,1.0011602384468312,0.0011602384468312188,6,0
75.25862573273581,-0.0011853829384232961,0.9988146170615767,70.37479453789656,0.9988146170615767,-0.0011853829384232961,7,0
95.01299426714719,0.0005300524992732925,1.0005300524992733,71.80330866509566,1.0005300524992733,0.0005300524992732925,8,0
83.18554765641062,-0.0012803672540470101,0.998719632745953,72.96119119981603,0.998719632745953,-0.0012803672540470101,9,0
182.1847424556787,0.008319082412036716,1.0083190824120367,73.91471104709503,1.0083190824120367,0.008319082412036716,10,0
146.0041690699982,0.0039228254754186676,1.0039228254754187,74.71001928377763,1.0039228254754187,0.0039228254754186676,11,0
116.98311499599995,0.0006145246217037492,1.0006145246217037,75.38033132105653,1.0006145246217037,0.0006145246217037492,12,0
95.93294637721996,-0.0016922144447870657,0.9983077855552129,75.95021124749805,0.9983077855552129,-0.0016922144447870657,13,0
143.61824376934214,0.00196396149881517,1.0019639614988152,76.4382450102568,1.0019639614988152,0.00196396149881517,14,0
111.54748697594195,-0.0011058600968484322,0.9988941399031516,76.85877190195937,0.9988941399031516,-0.0011058600968484322,15,0
116.84419559508764,-0.00104050627312402,0.998959493726876,77.22304219676224,0.998959493726876,-0.00104050627312402,16,0
131.67095088207785,-0.00026927077610472416,0.9997307292238953,77.5400124861154,0.9997307292238953,-0.00026927077610472416,17,0
113.36020501714066,-0.0019345305242527422,0.9980654694757473,77.81690519723631,0.9980654694757473,-0.0019345305242527422,18,0
408.65814302088336,0.0186540897889258,1.0186540897889258,78.05961049298675,1.0186540897889258,0.0186540897889258,19,0
285.2334752926474,0.00915411882943884,1.0091541188294388,78.27298033350571,1.0091541188294388,0.00915411882943884,20,0
199.1735989256931,0.002863623704401741,1.0028636237044017,78.46104721525106,1.0028636237044017,0.002863623704401741,21,0
154.89197474840682,-0.00033933046204670525,0.9996606695379533,78.6271893169447,0.9996606695379533,-0.00033933046204670525,22,0
127.03520990458226,-0.0023317752877135556,0.9976682247122864,78.77425687349748,0.9976682247122864,-0.0023317752877135556,23,0
173.87024487508677,0.0002131313702526949,1.0002131313702527,78.90467007452447,1.0002131313702527,0.0002131313702526949,24,0
141.74030491682538,-0.0019290057251311055,0.9980709942748689,79.02049576080057,0.9980709942748689,-0.0019290057251311055,25,0
179.43123769331496,-4.744984740578939e-05,0.9999525501525942,79.1235081347696,0.9999525501525942,-4.744984740578939e-05,26,0
151.51464385924243,-0.0018373392871123828,0.9981626607128876,79.21523727795899,0.9981626607128876,-0.0018373392871123828,27,0
229.9156990732052,0.0021086164830634857,1.0021086164830635,79.2970082684743,1.0021086164830635,0.0021086164830634857,28,0
164.10124209516454,-0.0016100682202373484,0.9983899317797627,79.36997297976357,0.9983899317797627,-0.0016100682202373484,29,0
187.27397444956918,-0.0006554340873208275,0.9993445659126792,79.43513612822572,0.9993445659126792,-0.0006554340873208275,30,0
183.28641108486866,-0.0010809653596097757,0.9989190346403902,79.49337676231227,0.9989190346403902,-0.0010809653596097757,31,0
172.4984168433293,-0.0018115153245076288,0.9981884846754924,79.54546610907111,0.9981884846754924,-0.0018115153245076288,32,0
343.5170948492694,0.006053491145053602,1.0060534911450536,79.59208248777857,1.0060534911450536,0.006053491145053602,33,0
54.59367016486213,-0.00012505810487817293,0.9998749418951218,40.0,0.9998749418951218,-0.00012505810487817293,1,1
47.489849779889774,-0.002138394257193421,0.9978616057428066,52.02118414312021,0.9978616057428066,-0.002138394257193421,2,1
66.14239130219777,0.00013375030660611742,1.0001337503066061,58.744634095177226,1.0001337503066061,0.00013375030660611742,3,1
57.93764929653903,-0.0017705466646448231,0.9982294533353552,63.13660800808356,0.9982294533353552,-0.0017705466646448231,4,1
76.98226081881901,0.00022871541447799792,1.000228715414478,66.25016897115964,1.000228715414478,0.00022871541447799792,5,1
65.95932430681295,-0.0017984272379892863,0.9982015727620107,68.57449445468635,0.9982015727620107,-0.0017984272379892863,6,1
93.90107114522816,0.0010224115921182442,1.0010224115921182,70.37294650013254,1.0010224115921182,0.0010224115921182442,7,1
70.99066217042537,-0.002153383817009691,0.9978466161829903,71.8016348573733,0.9978466161829903,-0.002153383817009691,8,1
88.18148120080171,-0.0007517940419934366,0.9992482059580066,72.95967092044737,0.9992482059580066,-0.0007517940419934366,9,1
106.19640914712733,0.0005965023666918423,1.0005965023666918,73.91332633835422,1.0005965023666918,0.0005965023666918423,10,1
94.56883875516002,-0.0010264593373303654,0.9989735406626696,74.70875481015985,0.9989735406626696,-0.0010264593373303654,11,1
111.76617599225276,0.00013631629988530847,1.0001363162998853,75.3791740184898,1.0001363162998853,0.00013631629988530847,12,1
93.9157809932918,-0.0018683356466515644,0.9981316643533484,75.94914995100588,0.9981316643533484,-0.0018683356466515644,13,1
158.93241850260318,0.003256775063030126,1.0032567750630301,76.43727012315331,1.0032567750630301,0.003256775063030126,14,1
