Time,Average Wealth,Gini Coefficient,Average Competence
1,54.0929456203616,0.07940230758111638,0.010047901107472522
2,59.0929456203616,0.13551221783248665,0.020094827811219212
3,64.0929456203616,0.04031356474036784,0.030140779642222865
4,69.09294562036159,0.21419333394796752,0.04018575614077136
5,74.09294562036162,0.1163839549913095,0.05022975685630822
6,79.0929456203616,0.07033233328500216,0.06027278134728534
7,84.0929456203616,0.05955312738252829,0.07031482918101813
8,89.0929456203616,0.1370586285699082,0.08035589993354263
9,94.09294562036162,0.05032647552559595,0.09039599318947499
10,99.0929456203616,0.1451715856966483,0.10043510854187301
11,104.0929456203616,0.07915395442108875,0.11047324559209994
12,109.0929456203616,0.11126565846997835,0.12051040394968998
13,114.09294562036162,0.059534554314420236,0.13054658323221635
14,119.0929456203616,0.19110341450046106,0.14058178306516111
15,124.0929456203616,0.08904112999099908,0.15061600308178702
16,129.09294562036158,0.09394468299704173,0.16064924292301125
17,134.09294562036163,0.08259280320071014,0.17068150223728154
18,139.0929456203616,0.11177854568535153,0.18071278068045346
19,144.09294562036158,0.07352011013743166,0.19074307791567044
20,149.09294562036158,0.15009524729633128,0.2007723936132452
21,154.09294562036155,0.08294374535314432,0.21080072745054285
22,159.09294562036158,0.10738525374606027,0.22082807911186617
23,164.09294562036158,0.07468851202685968,0.23085444828834284
24,169.09294562036158,0.15231351102010648,0.24087983467781385
25,174.09294562036158,0.05550532502141081,0.2509042379847239
26,179.09294562036155,0.1821313177347514,0.2609276579200141
27,184.09294562036155,0.0916627027237044,0.2709500942010152
28,189.0929456203616,0.08588244286239842,0.28097154655134354
29,194.09294562036155,0.09438672839919433,0.2909920147007984
30,199.09294562036155,0.11108606849274807,0.3010114983852602
31,204.0929456203615,0.09643743087553588,0.3110299973465916
32,209.09294562036155,0.1157937962471017,0.3210475113325391
33,214.09294562036155,0.08861663054910196,0.3310640400966367
34,219.09294562036155,0.12832111339078195,0.3410795833981108
35,224.09294562036158,0.06604854998744557,0.35109414100178726
36,229.09294562036158,0.16447582723155618,0.36110771267799896
37,234.09294562036158,0.06990961728001921,0.37112029820249554
38,239.09294562036158,0.12200157408088515,0.3811318973563543
39,244.09294562036155,0.0735810899277078,0.3911425099258927
40,249.09294562036155,0.12410701430759233,0.4011521357025822
41,254.09294562036158,0.060452646780751705,0.4111607744829633
42,259.09294562036155,0.17447441026237626,0.42116842606856153
43,264.09294562036143,0.07501569957059516,0.4311750902658067
44,269.0929456203615,0.1135562898721119,0.44118076688595076
45,274.0929456203615,0.09788764274745276,0.4511854557449888
46,279.09294562036143,0.08312685174179038,0.4611891566635809
47,284.0929456203615,0.15277488330706276,0.47119186946697483
48,289.09294562036143,0.05484731261814673,0.48119359398493033
49,294.09294562036143,0.18942010054635547,0.4911943300516451
50,299.09294562036143,0.11122936558209404,0.501194077505681
51,304.09294562036143,0.1111046482888068,0.5111928361898915
52,309.0929456203614,0.056379394583319566,0.5211906059513519
53,314.09294562036143,0.20934970336987746,0.531187386641288
54,319.09294562036143,0.10874771343372984,0.5411831781150087
55,324.0929456203614,0.07782748463731139,0.551177980231838
56,329.0929456203614,0.1012440243437966,0.5611717928550476
57,334.09294562036143,0.07655260668605707,0.5711646158517932
58,339.0929456203614,0.13244553118623784,0.5811564490930485
59,344.0929456203614,0.0642251151969998,0.5911472924535428
60,349.09294562036143,0.1912154563350812,0.601137145811699
61,354.09294562036126,0.0982387199090367,0.6111260090495706
62,359.0929456203614,0.0901405318987733,0.6211138820527841
63,364.09294562036126,0.11057913981811084,0.631100764710477
64,369.09294562036126,0.08609247928928482,0.6410866569152417
65,374.09294562036126,0.1584082465485166,0.6510715585630668
66,379.09294562036143,0.058452821942177595,0.6610554695532808
67,384.0929456203614,0.17903915993322883,0.6710383897884971
68,389.0929456203614,0.08021826607161373,0.6810203191745586
69,394.09294562036126,0.0954376943974924,0.6910012576204855
70,399.0929456203614,0.08162815789791864,0.7009812050384205
71,404.09294562036143,0.1276192859976338,0.7109601613435781
72,409.09294562036143,0.07010132301645214,0.7209381264541933
73,414.0929456203614,0.17610319307292813,0.7309151002914706
74,419.0929456203614,0.08639478336227256,0.7408910827795359
75,424.0929456203614,0.13071682896923079,0.7508660738453864
76,429.09294562036126,0.06488657625621684,0.760840073418844
77,434.0929456203614,0.14733936258784325,0.7708130814325069
78,439.0929456203614,0.04486754355260402,0.7807850978217051
79,444.09294562036143,0.20249855816560072,0.7907561225244528
80,449.09294562036143,0.11358993929341736,0.800726155481405
81,454.0929456203614,0.08047480938631267,0.8106951966358138
82,459.0929456203615,0.07332909421831274,0.8206632459334832
83,464.09294562036126,0.11729124623713076,0.8306303033227287
84,469.0929456203614,0.07489795852416506,0.8405963687543337
85,474.0929456203614,0.1510846006071347,0.8505614421815101
86,479.09294562036126,0.07282731319055642,0.8605255235598551
87,484.0929456203614,0.1387006231484942,0.8704886128473143
88,489.0929456203614,0.06415807597401212,0.8804507100041401
89,494.0929456203612,0.16922802825893726,0.890411814992855
90,499.09294562036126,0.06770935276624514,0.9003719277782125
91,504.0929456203614,0.13616816239872648,0.9103310483271598
92,509.0929456203612,0.08757136156729076,0.9202891766088017
93,514.0929456203613,0.0882433103391996,0.9302463125943649
94,519.0929456203613,0.10825989897708893,0.9402024562571613
95,524.0929456203613,0.09783206440621513,0.9501576075725542
96,529.0929456203614,0.11734520695780062,0.9601117665179231
97,534.0929456203614,0.08986393945170633,0.9700649330726311
98,539.0929456203613,0.14657522469852183,0.9800171072179906
99,544.0929456203614,0.07243258883921327,0.9899682889372309
100,549.0929456203613,0.17727309915078082,0.9999184782154671
101,554.0929456203613,0.07050366361988367,1.0098676750396678
102,559.0929456203613,0.13921134006591387,1.0198158793986234
103,564.0929456203613,0.08525476421237457,1.029763091282917
104,569.0929456203613,0.11924317225055418,1.0397093106848938
105,574.0929456203613,0.08849479196140791,1.04965453759863
106,579.0929456203613,0.1375671173974669,1.0595987720199074
107,584.0929456203613,0.049752178333757086,1.0695420139461818
108,589.0929456203612,0.18907274700700086,1.0794842633765558
109,594.0929456203612,0.10095768888406453,1.0894255203117513
110,599.0929456203612,0.06579613674942124,1.0993657847540828
111,604.0929456203613,0.09694211618500802,1.10930505670743
112,609.0929456203613,0.11227539261300976,1.1192433361772125
113,614.0929456203614,0.10919656214308844,1.1291806231703623
114,619.0929456203613,0.11561243245907533,1.1391169176953002
115,624.0929456203615,0.09712447496256602,1.1490522197619104
116,629.0929456203614,0.1283747362482606,1.1589865293815156
117,634.0929456203615,0.09025810077719598,1.168919846566853
118,639.0929456203615,0.14454512489752902,1.1788521713320506
119,644.0929456203615,0.06522667068445372,1.188783503692604
120,649.0929456203614,0.16126095411774485,1.1987138436653537
121,654.0929456203613,0.07826302305546846,1.2086431912684619
122,659.0929456203613,0.12447117705535433,1.2185715465213907
123,664.0929456203614,0.06505099759945182,1.228498909444881
124,669.0929456203614,0.19826412901002755,1.2384252800609294
125,674.0929456203613,0.06992513231750365,1.2483506583927686
126,679.0929456203613,0.08814906529168354,1.2582750444648463
127,684.0929456203611,0.1129631096376687,1.268198438302804
