W,I,AS,C,Xz,Xzo,S,R,V,A,Time,Agent ID
46.999939737999966,-0.0013227557383240773,0.9986772442616759,0.01,0.9986772442616759,-0.0013227557383240773,4.498585201817572e-05,0.9999998675492349,49.99749988786858,1.749682743269275e-10,1,0
65.22612967995991,0.0010494716190412312,1.0010494716190412,0.01999962500426068,1.0010494716190412,0.0010494716190412312,3.877917725759097e-05,1.0000001048371439,49.99749824934737,1.5388113649903419e-10,2,0
56.268455108968155,-0.0012316163163156313,0.9987683836836844,0.029998866631905683,0.9987683836836844,-0.0012316163163156313,-1.3733260910840024e-05,0.999999876686501,49.99748876835846,2.182554747504334e-09,3,0
117.2220450664166,0.007086069712167742,1.0070860697121677,0.03999771662022026,1.0070860697121677,0.007086069712167742,0.0001083263968051143,1.0000007036213108,49.99747303318035,1.6422563356116484e-08,4,0
101.12257811873125,0.0036985490294265677,1.0036985490294266,0.04999616682294853,1.0036985490294266,0.0036985490294265677,-1.3734163176016576e-05,1.000000368492085,49.997471161193936,1.4705610108844577e-08,5,0
87.35439546644209,0.001056189330274293,1.0010561893302743,0.059994209208615985,1.0010561893302743,0.001056189330274293,-1.3615339826604803e-05,1.0000001055075027,49.99745435358475,3.349843269683769e-08,6,0
76.86741270306013,-0.0008671582586583515,0.9991328417413416,0.06999183585887675,0.9991328417413416,-0.0008671582586583515,-1.2005100267004448e-05,0.9999999132089163,49.99743847503179,6.06998790603774e-08,7,0
96.12839196894456,0.0007982881648593843,1.0007982881648594,0.07998903896688533,1.0007982881648594,0.0007982881648593843,2.505740545774561e-05,1.000000079765144,49.99742340722235,9.377302653622236e-08,8,0
83.81716791374271,-0.001101903674441962,0.998898096325558,0.08998581083569242,0.998898096325558,-0.001101903674441962,-1.280706334833848e-05,0.9999998896880855,49.997413015116614,1.2127325059844057e-07,9,0
156.79294024440406,0.005916430138757756,1.0059164301387578,0.09998214387666442,1.0059164301387578,0.005916430138757756,8.706542364418903e-05,1.0000005881633605,49.99739782089753,1.6983378503011821e-07,10,0
127.28748999943099,0.0022558381954360662,1.002255838195436,0.10997803060792631,1.002255838195436,0.0022558381954360662,-1.8818098696906176e-05,1.0000002250761097,49.99739429337378,1.7944840881375904e-07,11,0
103.59075355645484,-0.0005091933169164564,0.9994908066830835,0.11997346365282754,0.9994908066830835,-0.0005091933169164564,-1.8616704943338955e-05,0.9999999490547287,49.99737715325346,2.416706030769083e-07,12,0
92.12490409242538,-0.0019411250596852447,0.9980588749403148,0.12996843573843056,0.9980588749403148,-0.0019411250596852447,-1.1068410133517185e-05,0.9999998055099835,49.997361115371994,3.09124998058493e-07,13,0
358.1818095998682,0.020698340411144267,1.0206983404111443,0.13996293969402163,1.0206983404111443,0.020698340411144267,0.00028880019808815013,1.0000020278627464,49.99734600863279,4.186812578737193e-07,14,0
243.23829454695198,0.009793259722462366,1.0097932597224624,0.14995696844964376,1.0097932597224624,0.009793259722462366,-3.2090829844575814e-05,1.0000009698286632,49.99736255271948,3.1220117973817994e-07,15,0
166.7124758623234,0.0029522690053913614,1.0029522690053914,0.1599505150346511,1.0029522690053914,0.0029522690053913614,-3.146125441602983e-05,1.0000002943579203,49.9973363628415,4.2971361880527157e-07,16,0
132.17078016592663,-0.00014477273737900642,0.999855227262621,0.16994357257628478,0.999855227262621,-0.00014477273737900642,-2.0719322604819587e-05,0.9999999855206301,49.9973152283508,5.46557633252723e-07,17,0
111.14341349785957,-0.002025599801119826,0.9979744001988802,0.17993613429826974,0.9979744001988802,-0.002025599801119826,-1.590924003147246e-05,0.9999997970289022,49.99729878979387,6.484384565137663e-07,18,0
189.45947571456708,0.0031903696293584805,1.0031903696293585,0.18992819351943221,1.0031903696293585,0.0031903696293584805,7.046397060516387e-05,1.0000003180224046,49.99728366728912,7.485908372724448e-07,19,0
132.72936319626012,-0.001107400962523708,0.9988925990374763,0.1999197436523376,0.9988925990374763,-0.001107400962523708,-2.9943138132491473e-05,0.9999998891371402,49.99727788656745,7.900068055822471e-07,20,0
130.60929861103642,-0.0015370201495928937,0.9984629798504071,0.2099107782019485,0.9984629798504071,-0.0015370201495928937,-1.5972837766793701e-06,0.9999998460613901,49.99725989228255,9.226973587099069e-07,21,0
211.65904437577746,0.0033486634720205632,1.0033486634720206,0.21990129076430232,1.0033486634720206,0.0033486634720205632,6.205511140987964e-05,1.0000003337487906,49.99724664504903,1.0268769433006052e-06,22,0
161.08167373178233,-0.0001853294272584627,0.9998146705727415,0.22989127502520848,0.9998146705727415,-0.0001853294272584627,-2.3895681279842e-05,0.9999999814636221,49.99724041950407,1.078612670226069e-06,23,0
132.6811114514036,-0.002170392396295684,0.9978296076037043,0.23988072475896488,0.9978296076037043,-0.002170392396295684,-1.7631156681217877e-05,0.9999997824886991,49.99722343989093,1.2246339187173654e-06,24,0
185.30088925356895,0.0006507168863427726,1.0006507168863428,0.2498696338270931,1.0006507168863428,0.0006507168863427726,3.9658831032206204e-05,1.000000065029375,49.99720826911862,1.3608259484350673e-06,25,0
141.92948836779735,-0.0020916695975043975,0.9979083304024956,0.2598579961770922,0.9979083304024956,-0.0020916695975043975,-2.3405932405656957e-05,0.999999790394637,49.99719940978421,1.4466771253243314e-06,26,0
168.01698131778727,-0.0008812959690650546,0.999118704030935,0.26984580584121115,0.999118704030935,-0.0008812959690650546,1.8380600994196893e-05,0.9999999117926702,49.99718333440157,1.6040479459080604e-06,27,0
